id,freq_hz,counts,substrain,noise_spl,abr_time
x11291,6000.0,5.1,JRj,105,ZT3
x11291,8000.0,7.1,JRj,105,ZT3
x11291,12000.0,11.0,JRj,105,ZT3
x11291,16000.0,10.5,JRj,105,ZT3
B47,6000.0,16.6,Sca,100,ZT15
B47,8000.0,15.4,Sca,100,ZT15
B47,12000.0,9.3,Sca,100,ZT15
B47,16000.0,8.7,Sca,100,ZT15
B47,24000.0,15.3,Sca,100,ZT15
B47,32000.0,10.7,Sca,100,ZT15
B47,48000.0,12.0,Sca,100,ZT15
B47,64000.0,14.0,Sca,100,ZT15
B48,6000.0,12.1,Sca,100,ZT15
B48,8000.0,14.4,Sca,100,ZT15
B48,12000.0,10.5,Sca,100,ZT15
B48,16000.0,8.9,Sca,100,ZT15
B48,24000.0,20.4,Sca,100,ZT15
B48,32000.0,3.1,Sca,100,ZT15
B48,48000.0,5.6,Sca,100,ZT15
B48,64000.0,7.1,Sca,100,ZT15
B50,6000.0,5.8,Sca,100,ZT15
B50,8000.0,20.5,Sca,100,ZT15
B50,12000.0,13.3,Sca,100,ZT15
B50,16000.0,20.8,Sca,100,ZT15
B50,24000.0,10.7,Sca,100,ZT15
B50,32000.0,12.0,Sca,100,ZT15
B50,48000.0,9.2,Sca,100,ZT15
B261,6000.0,9.1,Sca,103,ZT15
B261,8000.0,10.5,Sca,103,ZT15
B261,12000.0,7.3,Sca,103,ZT15
B261,16000.0,9.9,Sca,103,ZT15
B261,24000.0,9.5,Sca,103,ZT15
B261,32000.0,9.8,Sca,103,ZT15
B261,48000.0,5.3,Sca,103,ZT15
B260,6000.0,11.4,Sca,103,ZT15
B260,8000.0,10.3,Sca,103,ZT15
B260,12000.0,6.9,Sca,103,ZT15
B260,16000.0,9.8,Sca,103,ZT15
B260,24000.0,14.5,Sca,103,ZT15
B260,32000.0,5.0,Sca,103,ZT15
B260,48000.0,9.6,Sca,103,ZT15
B252,6000.0,14.62,Sca,103,ZT15
B252,8000.0,19.6,Sca,103,ZT15
B252,12000.0,20.2,Sca,103,ZT15
B252,16000.0,10.0,Sca,103,ZT15
B252,24000.0,18.6,Sca,103,ZT15
B252,32000.0,11.0,Sca,103,ZT15
B252,48000.0,2.33,Sca,103,ZT15
B251,6000.0,13.82,Sca,103,ZT15
B251,8000.0,11.5,Sca,103,ZT15
B251,12000.0,14.71,Sca,103,ZT15
B251,16000.0,11.83,Sca,103,ZT15
B251,24000.0,13.3,Sca,103,ZT15
B251,32000.0,9.0,Sca,103,ZT15
B251,48000.0,2.33,Sca,103,ZT15
B245,6000.0,11.08,Sca,103,ZT15
B245,8000.0,16.5,Sca,103,ZT15
B245,12000.0,18.5,Sca,103,ZT15
B245,16000.0,13.89,Sca,103,ZT15
B245,24000.0,9.83,Sca,103,ZT15
B245,32000.0,12.33,Sca,103,ZT15
B245,48000.0,8.0,Sca,103,ZT15
B247,6000.0,14.0,Sca,103,ZT15
B247,8000.0,8.86,Sca,103,ZT15
B247,12000.0,16.8,Sca,103,ZT15
B247,24000.0,10.5,Sca,103,ZT15
B247,32000.0,8.67,Sca,103,ZT15
x192167,6000.0,10.0,Sca,105,ZT15
x192167,8000.0,7.67,Sca,105,ZT15
x192167,12000.0,14.75,Sca,105,ZT15
x192167,16000.0,8.11,Sca,105,ZT15
x192167,24000.0,9.6,Sca,105,ZT15
x192167,32000.0,7.0,Sca,105,ZT15
x192167,48000.0,6.86,Sca,105,ZT15
x192167,64000.0,7.9,Sca,105,ZT15
x192165,6000.0,22.1,Sca,105,ZT15
x192165,8000.0,19.78,Sca,105,ZT15
x192165,12000.0,17.2,Sca,105,ZT15
x192165,16000.0,10.78,Sca,105,ZT15
x192165,24000.0,7.4,Sca,105,ZT15
x192165,32000.0,9.6,Sca,105,ZT15
x192165,48000.0,6.13,Sca,105,ZT15
x192164,6000.0,10.0,Sca,105,ZT15
x192164,8000.0,21.3,Sca,105,ZT15
x192164,12000.0,8.4,Sca,105,ZT15
x192164,16000.0,9.0,Sca,105,ZT15
x192164,24000.0,9.3,Sca,105,ZT15
x192164,32000.0,8.6,Sca,105,ZT15
x192164,48000.0,8.6,Sca,105,ZT15
x192163,6000.0,20.0,Sca,105,ZT15
x192163,8000.0,9.1,Sca,105,ZT15
x192163,12000.0,11.1,Sca,105,ZT15
x192163,16000.0,9.3,Sca,105,ZT15
x192163,24000.0,17.4,Sca,105,ZT15
x192163,48000.0,16.7,Sca,105,ZT15
B372,6000.0,13.3,Sca,105,ZT15
B372,8000.0,16.1,Sca,105,ZT15
B372,12000.0,18.4,Sca,105,ZT15
C194,6000.0,6.0,CaJ,100,ZT15
C194,8000.0,5.1,CaJ,100,ZT15
C194,12000.0,7.0,CaJ,100,ZT15
C194,16000.0,9.1,CaJ,100,ZT15
C194,24000.0,8.3,CaJ,100,ZT15
C194,32000.0,3.25,CaJ,100,ZT15
C194,48000.0,8.0,CaJ,100,ZT15
C194,64000.0,4.6,CaJ,100,ZT15
C195,6000.0,8.0,CaJ,100,ZT15
C195,8000.0,6.9,CaJ,100,ZT15
C195,12000.0,5.4,CaJ,100,ZT15
C195,16000.0,16.8,CaJ,100,ZT15
C195,24000.0,5.9,CaJ,100,ZT15
C195,32000.0,5.1,CaJ,100,ZT15
C195,48000.0,5.6,CaJ,100,ZT15
C195,64000.0,7.5,CaJ,100,ZT15
C196,6000.0,10.3,CaJ,100,ZT15
C196,8000.0,14.3,CaJ,100,ZT15
C196,12000.0,15.3,CaJ,100,ZT15
C196,16000.0,15.4,CaJ,100,ZT15
C196,24000.0,11.0,CaJ,100,ZT15
C196,32000.0,5.8,CaJ,100,ZT15
C196,48000.0,10.0,CaJ,100,ZT15
C196,64000.0,2.9,CaJ,100,ZT15
C34,6000.0,5.9,CaJ,100,ZT15
C34,8000.0,12.8,CaJ,100,ZT15
C34,12000.0,14.1,CaJ,100,ZT15
C34,16000.0,17.7,CaJ,100,ZT15
C34,24000.0,11.1,CaJ,100,ZT15
C34,32000.0,7.0,CaJ,100,ZT15
C34,48000.0,8.5,CaJ,100,ZT15
C34,64000.0,13.1,CaJ,100,ZT15
C36,6000.0,10.3,CaJ,100,ZT15
C36,8000.0,14.0,CaJ,100,ZT15
C36,12000.0,13.6,CaJ,100,ZT15
C36,16000.0,16.4,CaJ,100,ZT15
C36,24000.0,9.3,CaJ,100,ZT15
C36,32000.0,7.6,CaJ,100,ZT15
C39,6000.0,6.9,CaJ,100,ZT15
C39,8000.0,13.2,CaJ,100,ZT15
C39,12000.0,14.7,CaJ,100,ZT15
C39,16000.0,6.1,CaJ,100,ZT15
C39,24000.0,9.5,CaJ,100,ZT15
C39,32000.0,6.9,CaJ,100,ZT15
C21,6000.0,10.6,CaJ,100,ZT15
C21,8000.0,10.6,CaJ,100,ZT15
C21,12000.0,17.5,CaJ,100,ZT15
C21,16000.0,18.5,CaJ,100,ZT15
C21,24000.0,9.4,CaJ,100,ZT15
C21,32000.0,9.3,CaJ,100,ZT15
C22,6000.0,11.4,CaJ,100,ZT15
C22,8000.0,13.8181818,CaJ,100,ZT15
C22,12000.0,16.77,CaJ,100,ZT15
C22,16000.0,13.3333333,CaJ,100,ZT15
C22,24000.0,11.3,CaJ,100,ZT15
C22,32000.0,5.6,CaJ,100,ZT15
C203,6000.0,13.0,CaJ,100,ZT15
C203,8000.0,14.3,CaJ,100,ZT15
C203,16000.0,5.77777778,CaJ,100,ZT15
C203,24000.0,10.6,CaJ,100,ZT15
C203,32000.0,9.33333333,CaJ,100,ZT15
unknown3,6000.0,11.1,CaJ,100,ZT15
unknown3,8000.0,16.0,CaJ,100,ZT15
unknown4,6000.0,7.8,CaJ,100,ZT15
C84,6000.0,3.3,CaJ,103,ZT15
C84,8000.0,9.1,CaJ,103,ZT15
C84,12000.0,9.2,CaJ,103,ZT15
C84,16000.0,1.3,CaJ,103,ZT15
C84,24000.0,12.5,CaJ,103,ZT15
C84,32000.0,4.8,CaJ,103,ZT15
C84,48000.0,2.3,CaJ,103,ZT15
C84,64000.0,0.3,CaJ,103,ZT15
C100,6000.0,12.1,CaJ,103,ZT15
C100,8000.0,12.6,CaJ,103,ZT15
C100,12000.0,11.2,CaJ,103,ZT15
C100,16000.0,7.8,CaJ,103,ZT15
C100,24000.0,6.6,CaJ,103,ZT15
C100,32000.0,2.9,CaJ,103,ZT15
C100,48000.0,1.4,CaJ,103,ZT15
C100,64000.0,1.2,CaJ,103,ZT15
C101,6000.0,12.5,CaJ,103,ZT15
C101,8000.0,12.7,CaJ,103,ZT15
C101,12000.0,15.4,CaJ,103,ZT15
C101,16000.0,8.0,CaJ,103,ZT15
C101,24000.0,6.2,CaJ,103,ZT15
C101,32000.0,3.7,CaJ,103,ZT15
C101,48000.0,6.7,CaJ,103,ZT15
C101,64000.0,1.2,CaJ,103,ZT15
C117,6000.0,6.5,CaJ,103,ZT15
C117,8000.0,5.1,CaJ,103,ZT15
C117,12000.0,8.1,CaJ,103,ZT15
C117,16000.0,7.6,CaJ,103,ZT15
C117,24000.0,9.0,CaJ,103,ZT15
C117,32000.0,4.4,CaJ,103,ZT15
C117,48000.0,10.9,CaJ,103,ZT15
C117,64000.0,1.0,CaJ,103,ZT15
C124,6000.0,9.6,CaJ,103,ZT15
C124,8000.0,5.2,CaJ,103,ZT15
C124,12000.0,6.3,CaJ,103,ZT15
C124,16000.0,13.0,CaJ,103,ZT15
C124,24000.0,11.9,CaJ,103,ZT15
C124,32000.0,0.8,CaJ,103,ZT15
C124,48000.0,3.4,CaJ,103,ZT15
C124,64000.0,5.0,CaJ,103,ZT15
C366,6000.0,10.3,CaJ,103,ZT15
C366,8000.0,18.4,CaJ,103,ZT15
C366,12000.0,5.0,CaJ,103,ZT15
C366,16000.0,8.5,CaJ,103,ZT15
C366,24000.0,7.7,CaJ,103,ZT15
C366,32000.0,5.0,CaJ,103,ZT15
C366,64000.0,5.1,CaJ,103,ZT15
C99,6000.0,9.5,CaJ,103,ZT15
C99,8000.0,8.5,CaJ,103,ZT15
C99,12000.0,3.5,CaJ,103,ZT15
C99,16000.0,12.7,CaJ,103,ZT15
C99,24000.0,12.2,CaJ,103,ZT15
C99,32000.0,11.1,CaJ,103,ZT15
C301,24000.0,17.0,CaJ,103,ZT15
C301,32000.0,15.4,CaJ,103,ZT15
C49,6000.0,13.9,CaJ,105,ZT15
C49,8000.0,13.4,CaJ,105,ZT15
C49,12000.0,12.7,CaJ,105,ZT15
C49,16000.0,16.9,CaJ,105,ZT15
C49,24000.0,5.1,CaJ,105,ZT15
C49,32000.0,5.8,CaJ,105,ZT15
C49,48000.0,6.8,CaJ,105,ZT15
C49,64000.0,9.6,CaJ,105,ZT15
C50,6000.0,6.0,CaJ,105,ZT15
C50,8000.0,9.85,CaJ,105,ZT15
C50,12000.0,21.1,CaJ,105,ZT15
C50,16000.0,10.5,CaJ,105,ZT15
C50,24000.0,10.4,CaJ,105,ZT15
C50,32000.0,8.0,CaJ,105,ZT15
C50,48000.0,6.3,CaJ,105,ZT15
C50,64000.0,7.5,CaJ,105,ZT15
C60,6000.0,6.85,CaJ,105,ZT15
C60,8000.0,8.2,CaJ,105,ZT15
C60,12000.0,17.55,CaJ,105,ZT15
C60,16000.0,8.3,CaJ,105,ZT15
C60,24000.0,7.1,CaJ,105,ZT15
C60,32000.0,8.2,CaJ,105,ZT15
C60,48000.0,7.25,CaJ,105,ZT15
C60,64000.0,6.0,CaJ,105,ZT15
C61,6000.0,10.5,CaJ,105,ZT15
C61,8000.0,13.37,CaJ,105,ZT15
C61,12000.0,11.7,CaJ,105,ZT15
C61,16000.0,13.5,CaJ,105,ZT15
C61,24000.0,6.62,CaJ,105,ZT15
C61,32000.0,8.0,CaJ,105,ZT15
C61,48000.0,8.57,CaJ,105,ZT15
C62,8000.0,13.4,CaJ,105,ZT15
C62,16000.0,7.4,CaJ,105,ZT15
C62,24000.0,6.6,CaJ,105,ZT15
C62,48000.0,8.5,CaJ,105,ZT15
C46095,6000.0,12.5,JRj,100,ZT15
C46095,8000.0,16.4,JRj,100,ZT15
C46095,12000.0,17.6,JRj,100,ZT15
C46095,16000.0,9.7,JRj,100,ZT15
C46095,24000.0,15.2,JRj,100,ZT15
C46095,32000.0,17.2,JRj,100,ZT15
C46095,48000.0,12.6,JRj,100,ZT15
C46095,64000.0,3.2,JRj,100,ZT15
C46067,6000.0,8.7,JRj,100,ZT15
C46067,8000.0,16.4,JRj,100,ZT15
C46067,12000.0,14.4,JRj,100,ZT15
C46067,16000.0,14.9,JRj,100,ZT15
C46067,24000.0,12.0,JRj,100,ZT15
C46067,32000.0,14.1,JRj,100,ZT15
C46067,48000.0,14.4,JRj,100,ZT15
C46067,64000.0,14.0,JRj,100,ZT15
C46096,6000.0,11.2,JRj,100,ZT15
C46096,12000.0,17.5,JRj,100,ZT15
C46096,16000.0,19.8,JRj,100,ZT15
C46096,24000.0,11.6,JRj,100,ZT15
C46096,32000.0,13.4,JRj,100,ZT15
C46096,48000.0,14.6,JRj,100,ZT15
C46096,64000.0,19.8,JRj,100,ZT15
x215330,6000.0,18.7,JRj,103,ZT15
x215330,8000.0,13.7,JRj,103,ZT15
x215330,12000.0,16.9,JRj,103,ZT15
x215330,16000.0,18.1,JRj,103,ZT15
x215330,24000.0,13.8,JRj,103,ZT15
x215330,32000.0,13.0,JRj,103,ZT15
x215330,48000.0,8.1,JRj,103,ZT15
x215330,64000.0,12.7,JRj,103,ZT15
x215331,6000.0,20.9,JRj,103,ZT15
x215331,8000.0,15.0,JRj,103,ZT15
x215331,12000.0,18.0,JRj,103,ZT15
x215331,16000.0,11.6,JRj,103,ZT15
x215331,24000.0,17.72727,JRj,103,ZT15
x215331,32000.0,10.1,JRj,103,ZT15
x215331,48000.0,9.2,JRj,103,ZT15
x215331,64000.0,8.4,JRj,103,ZT15
x215332,6000.0,17.6,JRj,103,ZT15
x215332,8000.0,14.63636,JRj,103,ZT15
x215332,12000.0,14.0,JRj,103,ZT15
x215332,16000.0,11.0,JRj,103,ZT15
x215332,24000.0,12.1,JRj,103,ZT15
x215332,32000.0,3.545455,JRj,103,ZT15
x215332,48000.0,9.7,JRj,103,ZT15
x215332,64000.0,6.7,JRj,103,ZT15
x215333,6000.0,15.0,JRj,103,ZT15
x215333,8000.0,18.0,JRj,103,ZT15
x215333,12000.0,16.2,JRj,103,ZT15
x215333,16000.0,17.5,JRj,103,ZT15
x215333,24000.0,17.09091,JRj,103,ZT15
x215333,64000.0,14.7,JRj,103,ZT15
I-1655_1,6000.0,9.3,JRj,105,ZT15
I-1655_1,8000.0,11.2,JRj,105,ZT15
I-1655_1,12000.0,12.1,JRj,105,ZT15
I-1655_1,16000.0,11.0,JRj,105,ZT15
I-1655_1,24000.0,9.1,JRj,105,ZT15
I-1655_1,32000.0,8.4,JRj,105,ZT15
I-1655_1,48000.0,2.625,JRj,105,ZT15
I-1655_1,64000.0,8.5,JRj,105,ZT15
I-1655_2,6000.0,7.5,JRj,105,ZT15
I-1655_2,8000.0,7.8,JRj,105,ZT15
I-1655_2,12000.0,9.1,JRj,105,ZT15
I-1655_2,16000.0,8.8,JRj,105,ZT15
I-1655_2,24000.0,6.7,JRj,105,ZT15
I-1655_2,32000.0,7.0,JRj,105,ZT15
I-1655_2,48000.0,6.8,JRj,105,ZT15
I-1655_2,64000.0,4.8,JRj,105,ZT15
I-1657_11,6000.0,4.1,JRj,105,ZT15
I-1657_11,8000.0,10.3,JRj,105,ZT15
I-1657_11,12000.0,12.9,JRj,105,ZT15
I-1657_11,16000.0,12.4,JRj,105,ZT15
I-1657_11,24000.0,13.5,JRj,105,ZT15
I-1657_11,32000.0,8.6,JRj,105,ZT15
I-1657_11,48000.0,7.4,JRj,105,ZT15
I-1657_11,64000.0,3.7,JRj,105,ZT15
I-1655_3,6000.0,6.7,JRj,105,ZT15
I-1655_3,8000.0,11.0,JRj,105,ZT15
I-1655_3,12000.0,10.1,JRj,105,ZT15
I-1655_3,16000.0,10.0,JRj,105,ZT15
I-1655_3,24000.0,8.5,JRj,105,ZT15
I-1655_3,32000.0,9.4,JRj,105,ZT15
I-1655_3,48000.0,5.0,JRj,105,ZT15
I-1655_3,64000.0,9.8,JRj,105,ZT15
I-1655_4,6000.0,7.7,JRj,105,ZT15
I-1655_4,8000.0,8.8,JRj,105,ZT15
I-1655_4,12000.0,4.3,JRj,105,ZT15
I-1655_4,16000.0,9.6,JRj,105,ZT15
I-1655_4,24000.0,9.4,JRj,105,ZT15
I-1655_4,32000.0,8.9,JRj,105,ZT15
I-1655_4,48000.0,13.5,JRj,105,ZT15
I-1655_4,64000.0,6.9,JRj,105,ZT15
12910_2,6000.0,10.6,JRj,105,ZT15
12910_2,8000.0,12.3,JRj,105,ZT15
12910_2,12000.0,15.0,JRj,105,ZT15
12910_2,16000.0,15.5,JRj,105,ZT15
12910_2,24000.0,9.0,JRj,105,ZT15
12910_2,32000.0,12.9,JRj,105,ZT15
12910_2,64000.0,3.7,JRj,105,ZT15
12910_4,6000.0,12.2,JRj,105,ZT15
12910_4,8000.0,12.1,JRj,105,ZT15
12910_4,12000.0,10.9,JRj,105,ZT15
12910_4,16000.0,10.1,JRj,105,ZT15
12910_4,24000.0,9.6,JRj,105,ZT15
12910_4,32000.0,10.5,JRj,105,ZT15
